Gıda,Kod,Gruplar,Grup Linkleri,Gıda Linki
"Reçel, şeftali",09.02.0042,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-recel-seftali-354
"Reçel, vişne",09.02.0050,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-recel-visne-362
"Reçel, vişne, tatlandırıcılı, diyabetik",13.02.0009,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-recel-visne-tatlandiricili-diyabetik-647
"Rezene, kök, sap",08.01.0056,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-rezene-kok-sap-267
Roka,08.01.0057,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-roka-256
Salatalık,08.01.0021,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-salatalik-203
"Salep, toz,  Maraş",12.02.0054,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-salep-toz-maras-477
Şalgam,08.01.0070,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-salgam-254
"Şarap, beyaz  ( alk.% 11-12.5 hacmen)",11.02.0017,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-sarap-beyaz--alk--11-12-5-hacmen-426
"Şarap, kırmızı ( alk.% 11-13.5 hacmen)",11.02.0016,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-sarap-kirmizi--alk--11-13-5-hacmen-425
"Sardalya, konserve, ayçiçek yağında",04.02.0003,Balık ve su ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=4,https://turkomp.tarimorman.gov.tr/food-sardalya-konserve-aycicek-yaginda-100
"Sarımsak, kök, sap",08.01.0058,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-sarimsak-kok-sap-232
"Sarımsak, kuru",08.01.0067,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-sarimsak-kuru-233
"Sarımsak, kuru, toz",08.02.0004,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-sarimsak-kuru-toz-234
Şeftali suyu,09.02.0041,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-seftali-suyu-353
"Şeftali, erkenci",09.01.0044,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-seftali-erkenci-352
"Şeftali, J. Hale çeşidi",09.01.0045,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-seftali-j-hale-cesidi-505
"Şeftali, konserve",09.02.0040,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-seftali-konserve-355
"Şeker, beyaz, küp",10.02.0012,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-seker-beyaz-kup-289
"Şeker, esmer, küp",10.02.0013,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-seker-esmer-kup-290
"Şeker, pudra",10.02.0011,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-seker-pudra-299
Semizotu,08.01.0059,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-semizotu-228
Şevketi bostan,08.01.0072,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-sevketi-bostan-695
"Sığır eti, bonfile",03.01.0033,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-sigir-eti-bonfile-36
"Sığır eti, but",03.01.0034,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-sigir-eti-but-40
"Sığır eti, kol",03.01.0035,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-sigir-eti-kol-39
"Sığır eti, kontrfile",03.01.0036,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-sigir-eti-kontrfile-37
"Sığır eti, pirzola",03.01.0037,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-sigir-eti-pirzola-38
"Simit, İzmir",12.02.0021,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-simit-izmir-623
"Sirke, elma",12.02.0076,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-sirke-elma-739
"Sirke, üzüm",12.02.0022,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-sirke-uzum-439
"Soğan, mor, kuru",08.01.0061,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-sogan-mor-kuru-231
"Soğan, sarı, kuru",08.01.0066,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-sogan-sari-kuru-230
"Soğan, taze, kök, sap",08.01.0060,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-sogan-taze-kok-sap-229
Soya kıyma (tekstüre edilmiş soya proteini),12.02.0028,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-soya-kiyma-teksture-edilmis-soya-proteini-442
Su teresi,08.01.0088,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-su-teresi-715
"Su, doğal mineralli",11.02.0009,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-su-dogal-mineralli-418
"Su, içme",11.02.0010,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-su-icme-419
"Su, içme-kullanma",11.02.0005,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-su-icme-kullanma-414
"Sucuk, Erzurum",12.02.0066,"Et ve et ürünleri, Geleneksel gıdalar","https://turkomp.tarimorman.gov.tr/?type=foods&group=3, https://turkomp.tarimorman.gov.tr/?type=foods&group=13",https://turkomp.tarimorman.gov.tr/food-sucuk-erzurum-479
Sunbala,08.01.0090,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-sunbala-717
"Susam tohumu, kuru",07.01.0006,Yağlı tohumlar ve kuru baklagiller,https://turkomp.tarimorman.gov.tr/?type=foods&group=7,https://turkomp.tarimorman.gov.tr/food-susam-tohumu-kuru-163
"Süt tozu, yağsız (100 g kuru maddede en çok 1.5 g süt yağı)",01.02.0013,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-tozu-yagsiz-100-g-kuru-maddede-en-cok-1-5-g-sut-yagi-24
"Süt, inek",01.01.0001,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-inek-17
"Süt, inek, UHT, tam yağlı (100 ml' de 3 g süt yağı)",01.02.0010,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-inek-uht-tam-yagli-100-ml-de-3-g-sut-yagi-18
"Süt, inek, UHT, yağsız (100 ml' de 1.5 g' dan az süt yağı)",01.02.0012,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-inek-uht-yagsiz-100-ml-de-1-5-g-dan-az-sut-yagi-20
"Süt, inek, UHT, yarım yağlı (100 ml' de 1.5 g süt yağı)",01.02.0011,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-inek-uht-yarim-yagli-100-ml-de-1-5-g-sut-yagi-19
"Süt, insan, erişkin",01.01.0005,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-insan-eriskin-693
"Süt, keçi",01.01.0002,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-keci-21
"Süt, koyun",01.01.0003,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-koyun-22
"Süt, laktozsuz",13.02.0024,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-sut-laktozsuz-654
"Süt, manda",01.01.0004,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-manda-23
"Süt, pastörize, tam yağlı (100 ml' de 3 g süt yağı)",01.02.0009,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sut-pastorize-tam-yagli-100-ml-de-3-g-sut-yagi-16
"Sütlaç, Ankara",12.02.0146,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-sutlac-ankara-627
"Sütlaç, Hamsiköy, Trabzon",12.02.0106,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-sutlac-hamsikoy-trabzon-569
"Sütlaç, İstanbul",12.02.0147,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-sutlac-istanbul-628
"Sütlü buz, vanilya aromalı",01.02.0001,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-sutlu-buz-vanilya-aromali-1
"Sütlü Çikolata, antepfıstıklı",10.02.0017,Şeker ve şekerli ürünler,https://turkomp.tarimorman.gov.tr/?type=foods&group=10,https://turkomp.tarimorman.gov.tr/food-sutlu-cikolata-antepfistikli-761
"Tahin helvası, İstanbul",12.02.0124,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tahin-helvasi-istanbul-598
"Tahin helvası, İzmir",12.02.0148,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tahin-helvasi-izmir-640
"Tahin helvası, Safranbolu",12.02.0123,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tahin-helvasi-safranbolu-597
"Tahin, İstanbul",12.02.0026,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tahin-istanbul-440
"Tahin, Konya",12.02.0149,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tahin-konya-638
"Tam tahıllı gevrek, meyveli",13.02.0005,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-tam-tahilli-gevrek-meyveli-681
"Tarhana, kuru, Beypazarı, Ankara",12.02.0056,"Tahıl ve tahıl ürünleri, Geleneksel gıdalar","https://turkomp.tarimorman.gov.tr/?type=foods&group=6, https://turkomp.tarimorman.gov.tr/?type=foods&group=13",https://turkomp.tarimorman.gov.tr/food-tarhana-kuru-beypazari-ankara-484
"Tarhana, kuru, Gediz, Kütahya",12.02.0071,"Tahıl ve tahıl ürünleri, Geleneksel gıdalar","https://turkomp.tarimorman.gov.tr/?type=foods&group=6, https://turkomp.tarimorman.gov.tr/?type=foods&group=13",https://turkomp.tarimorman.gov.tr/food-tarhana-kuru-gediz-kutahya-515
"Tarhana, kuru, Uşak",12.02.0070,"Tahıl ve tahıl ürünleri, Geleneksel gıdalar","https://turkomp.tarimorman.gov.tr/?type=foods&group=6, https://turkomp.tarimorman.gov.tr/?type=foods&group=13",https://turkomp.tarimorman.gov.tr/food-tarhana-kuru-usak-514
"Tarsus şalgamı, Mersin",12.02.0055,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tarsus-salgami-mersin-481
"Tatlandırıcı, sodyum siklamat, sodyum sakarin bazlı, tablet",13.02.0019,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-tatlandirici-sodyum-siklamat-sodyum-sakarin-bazli-tablet-658
"Tatlandırıcı, sorbitol ve sakarin bazlı, toz",13.02.0017,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-tatlandirici-sorbitol-ve-sakarin-bazli-toz-657
"Tavşan eti, derisiz",03.01.0038,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-tavsan-eti-derisiz-57
"Tavşanlı leblebisi, Kütahya",12.02.0116,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tavsanli-leblebisi-kutahya-584
"Tavuk suyu, tablet  (bulyon)",12.02.0002,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-tavuk-suyu-tablet-bulyon-434
Tekesakalı,08.01.0094,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-tekesakali-721
"Tel kadayıf, çiğ (hammadde, Antakya künefesi)",12.02.0150,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tel-kadayif-cig-hammadde-antakya-kunefesi-641
"Tel kadayıf, çiğ (hammadde, Erzurum kadayıf dolması)",12.02.0089,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tel-kadayif-cig-hammadde-erzurum-kadayif-dolmasi-545
"Tel kadayıf, çiğ, Bingöl",12.02.0090,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tel-kadayif-cig-bingol-546
"Tel kadayıf, çiğ, Diyarbakır",12.02.0092,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tel-kadayif-cig-diyarbakir-548
Tere,08.01.0062,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-tere-257
"Tereyağı, kahvaltılık, pastörize (süt yağı ≥ % 82)",01.02.0014,Süt ve süt ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=1,https://turkomp.tarimorman.gov.tr/food-tereyagi-kahvaltilik-pastorize-sut-yagi---82-25
Tirsi,04.01.0016,Balık ve su ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=4,https://turkomp.tarimorman.gov.tr/food-tirsi-98
"Ton balığı, konserve, ayçiçek yağında",04.02.0002,Balık ve su ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=4,https://turkomp.tarimorman.gov.tr/food-ton-baligi-konserve-aycicek-yaginda-99
Tonik,11.02.0011,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-tonik-420
"Toz meşrubat, limonlu",11.02.0012,İçecekler,https://turkomp.tarimorman.gov.tr/?type=foods&group=11,https://turkomp.tarimorman.gov.tr/food-toz-mesrubat-limonlu-421
"Trabzon hurması, meyve et rengi kahverengi, kararsız",09.01.0047,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-trabzon-hurmasi-meyve-et-rengi-kahverengi-kararsiz-318
"Trabzon hurması, meyve et rengi sarı, kararlı",09.01.0046,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-trabzon-hurmasi-meyve-et-rengi-sari-kararli-319
Tritikale,06.01.0013,Tahıl ve tahıl ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=6,https://turkomp.tarimorman.gov.tr/food-tritikale-155
"Türk kahvesi, İstanbul",12.02.0057,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-turk-kahvesi-istanbul-487
"Turp, Fındık",08.01.0063,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-turp-findik-252
"Turp, kırmızı iri",08.01.0064,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-turp-kirmizi-iri-251
"Turp, siyah",08.01.0065,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-turp-siyah-253
"Turşu, acur",08.02.0053,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-tursu-acur-205
"Turşu, biber",08.02.0039,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-tursu-biber-180
"Turşu, fasulye",08.02.0029,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-tursu-fasulye-209
"Turşu, havuç",08.02.0024,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-tursu-havuc-262
"Turşu, kelek",08.02.0018,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-tursu-kelek-197
"Turşu, lahana",08.02.0016,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-tursu-lahana-247
"Turşu, pancar, kırmızı",08.02.0054,Sebze ve sebze ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=8,https://turkomp.tarimorman.gov.tr/food-tursu-pancar-kirmizi-273
"Turşu, salatalık, Gedelek, Bursa",12.02.0125,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-tursu-salatalik-gedelek-bursa-599
"Tuz, iri salamura",12.02.0024,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-tuz-iri-salamura-443
"Tuz, sofra, iyotlu",12.02.0023,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-tuz-sofra-iyotlu-430
"Tuz, sofra, iyotsuz",12.02.0029,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-tuz-sofra-iyotsuz-667
"Un, düşük proteinli, glutensiz, PKU",13.02.0011,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-un-dusuk-proteinli-glutensiz-pku-662
"Un, glutensiz",13.02.0013,Özel beslenme amaçlı gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=14,https://turkomp.tarimorman.gov.tr/food-un-glutensiz-650
"Üzüm suyu, kırmızı",09.02.0046,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-suyu-kirmizi-330
"Üzüm, beyaz şaraplık, Narince çeşidi",09.01.0051,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-beyaz-saraplik-narince-cesidi-503
"Üzüm, beyaz, erkenci, Yalova İncisi",09.01.0048,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-beyaz-erkenci-yalova-incisi-322
"Üzüm, beyaz, geç mevsim, Müşküle çeşidi",09.01.0049,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-beyaz-gec-mevsim-muskule-cesidi-328
"Üzüm, beyaz, orta mevsim, Razaki çeşidi",09.01.0050,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-beyaz-orta-mevsim-razaki-cesidi-324
"Üzüm, kırmızı şaraplık, Kalecik Karası çeşidi",09.01.0052,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-kirmizi-saraplik-kalecik-karasi-cesidi-504
"Üzüm, renkli, erkenci, Kardinal çeşidi",09.01.0053,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-renkli-erkenci-kardinal-cesidi-323
"Üzüm, renkli, geç mevsim, Hönüsü çeşidi",09.01.0054,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-renkli-gec-mevsim-honusu-cesidi-329
"Üzüm, renkli, orta mevsim, Alphonse Lavalle çeşidi",09.01.0055,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-renkli-orta-mevsim-alphonse-lavalle-cesidi-325
"Üzüm, siyah, çekirdekli, kuru",09.02.0044,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-siyah-cekirdekli-kuru-327
"Üzüm, yuvarlak, çekirdeksiz, Sultaniye, kuru",09.02.0045,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-uzum-yuvarlak-cekirdeksiz-sultaniye-kuru-326
"Vanilin, şekerli",12.02.0027,Muhtelif gıda,https://turkomp.tarimorman.gov.tr/?type=foods&group=12,https://turkomp.tarimorman.gov.tr/food-vanilin-sekerli-432
Vişne suyu,09.02.0049,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-visne-suyu-361
"Vişne, dondurulmuş",09.02.0047,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-visne-dondurulmus-364
"Vişne, konserve",09.02.0048,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-visne-konserve-363
"Vişne, Kütahya",09.01.0065,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-visne-kutahya-360
Yaban mersini (mavi yemiş),09.01.0057,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-yaban-mersini-mavi-yemis-394
"Yaprak sarma, etli, Safranbolu",12.02.0151,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-yaprak-sarma-etli-safranbolu-684
"Yaprak sarma, zeytinyağlı, Bursa",12.02.0110,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-yaprak-sarma-zeytinyagli-bursa-575
"Yaprak sarma, zeytinyağlı, İzmir",12.02.0107,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-yaprak-sarma-zeytinyagli-izmir-571
"Yaprak sarma, zeytinyağlı, Tokat",12.02.0108,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-yaprak-sarma-zeytinyagli-tokat-572
"Yaz helvası, cevizli, İstanbul",12.02.0012,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-yaz-helvasi-cevizli-istanbul-619
"Yaz helvası, cevizli, İzmir",12.02.0153,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-yaz-helvasi-cevizli-izmir-620
"Yaz helvası, cevizli, Safranbolu",12.02.0119,Geleneksel gıdalar,https://turkomp.tarimorman.gov.tr/?type=foods&group=13,https://turkomp.tarimorman.gov.tr/food-yaz-helvasi-cevizli-safranbolu-590
Yenidünya,09.01.0058,Meyve ve meyve ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=9,https://turkomp.tarimorman.gov.tr/food-yenidunya-401
"Yenilebilir sakatat, dana  karaciğer",03.01.0011,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-yenilebilir-sakatat-dana-karaciger-71
"Yenilebilir sakatat, dana akciğer",03.01.0002,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-yenilebilir-sakatat-dana-akciger-76
"Yenilebilir sakatat, dana beyin",03.01.0003,Et ve et ürünleri,https://turkomp.tarimorman.gov.tr/?type=foods&group=3,https://turkomp.tarimorman.gov.tr/food-yenilebilir-sakatat-dana-beyin-69
